180101  3+ 4- 2+ 2+  3- 1o 1o 1+   18- D3* 10 0.6
180102  2- 1- 0+ 1-  2- 1o 2o 1o    9o      4 0.2
180103  0o 1- 1o 1-  0+ 1o 0+ 0o    4o Q6   2 0.0
180104  1- 0o 1o 0o  1- 0+ 1+ 1o    5o Q8   3 0.0
180105  1- 2- 1+ 1-  1- 1+ 1o 2o    9+      4 0.2
180106  1+ 0o 1- 0o  0+ 0o 0+ 0+    3o Q5   2 0.0
180107  1o 0o 0o 0o  0+ 1- 1- 0+    3o Q3   2 0.0
180108  0+ 1- 2+ 2-  4- 3o 2o 2-   15+      9 0.5
180109  4- 2+ 2o 1+  2o 2o 2- 2-   17- D5*  9 0.5
180110  1+ 2- 1o 1o  0+ 1o 0+ 0o    7-      3 0.1
180111  0+ 1o 0o 0+  1- 0o 0+ 1-    3+ Q4   2 0.0
180112  1- 1+ 1o 1o  1- 1+ 0+ 0o    6+ Q9   3 0.1
180113  0o 0o 1+ 1+  2o 2- 3o 2+   12-      6 0.3
180114  5- 4o 2o 1+  2- 2o 1o 2o   19- D1* 13 0.7
180115  4- 2o 3- 1+  1- 2o 2- 2o   16o      9 0.5
180116  2o 0+ 1- 1+  1- 1- 1o 1o    8-      4 0.1
180117  0o 0o 0o 1-  0+ 0o 0o 0+    1+ Q2   1 0.0
180118  0o 0+ 0o 0o  0+ 0+ 0+ 0+    2- Q1   1 0.0
180119  1+ 3- 2+ 2-  1- 1- 2+ 3-   14+      7 0.4
180120  3- 3o 3- 1o  1- 1o 1+ 1o   13+      7 0.4
180121  1o 1- 2- 2+  3o 2o 3o 3-   16+      9 0.5
180122  3o 3o 2o 2-  1o 3- 3+ 3-   19+ D2* 11 0.6
180123  2o 2o 0+ 1-  1o 1+ 0+ 0+    8o      4 0.1
180124  0o 0o 0+ 1-  3o 3+ 1o 4o   12+      9 0.5
180125  3o 2+ 2o 2o  1+ 3o 2+ 2-   18- D4*  9 0.5
180126  3o 2+ 3- 1o  0+ 1- 2- 2-   13+      7 0.4
180127  3- 2- 1- 1o  1o 1+ 2- 1+   11+      6 0.3
180128  1o 1o 0o 1-  1+ 1- 0+ 2-    7- Q0   3 0.1
180129  0+ 0+ 1o 1o  1- 1- 1o 0+    5+ Q7   3 0.1
180130  1- 2+ 2- 1-  0+ 0o 0+ 0+    6+      3 0.1
180131  0o 0o 1+ 2o  2+ 2- 1+ 3-   11+      6 0.2
1801                                  Mean  6 0.26

1801 Q 18  17   7  11   6   3  29   4  12  28 
1801 D 14* 22*  1* 25*  9*
