180301  1- 2- 1- 1o  1+ 1- 3- 2+   11o      6 0.3
180302  3- 0+ 0+ 0+  0+ 0+ 1- 1-    6- Q6   4 0.1
180303  1o 0o 1o 2o  1+ 1o 2o 3-   11o      5 0.2
180304  3- 2o 2- 1-  1+ 1+ 1- 1-   11o      6 0.2
180305  1+ 0o 1o 1+  1o 1+ 1+ 1+    9- Q0   4 0.1
180306  2- 1- 1- 1o  1o 2o 1- 1-    8+ Q8   4 0.1
180307  0+ 0o 1- 0o  0o 0+ 3- 1o    5o Q7   3 0.1
180308  1- 1+ 2- 1o  0+ 0o 1o 0+    6+ Q4   3 0.1
180309  3- 3o 1- 1o  1o 1o 2+ 4+   16o     10 0.6
180310  4o 4- 3- 1+  2o 1+ 2+ 2-   19o     12 0.7
180311  2+ 1+ 1+ 0+  0+ 1- 1o 1o    8+      4 0.1
180312  0+ 0o 0o 0+  1o 1o 1- 0o    3+ Q2   2 0.0
180313  0o 0o 1o 1-  1o 1- 1o 0+    5- Q3   2 0.0
180314  0+ 0+ 1o 1-  1+ 4o 3- 4-   14o     10 0.5
180315  4o 2+ 2- 3-  2- 3+ 3+ 4-   23- D4* 15 0.8
180316  3o 4+ 3- 2+  3o 4o 3o 4-   26o D2* 18 1.0
180317  4+ 3o 2+ 2-  2+ 2- 2+ 4-   21+     14 0.8
180318  3- 2+ 1- 1o  3+ 4- 4+ 6o   24o D1  22 1.1
180319  4+ 4- 3o 1o  2- 2o 2+ 3o   21o     14 0.8
180320  3o 3o 0+ 0+  1+ 0+ 2o 1+   12-      7 0.3
180321  1o 2o 1- 0o  0+ 0+ 2o 1o    7+ Q9   4 0.1
180322  1o 2o 0+ 0+  1- 2- 3- 3o   12-      6 0.3
180323  4o 3o 1+ 3o  2o 2- 4- 4-   22+ D5* 15 0.8
180324  2o 2o 1+ 2o  2- 2o 2+ 3-   16o      8 0.4
180325  3+ 4- 3o 3+  2o 3- 2+ 4o   24+ D3* 16 0.9
180326  3- 3o 3- 2o  1+ 2+ 3- 2+   19o     10 0.6
180327  3- 3o 2o 2o  2+ 1+ 0+ 1-   14+      8 0.4
180328  1- 0+ 1- 0o  0+ 0o 0+ 0+    3- Q1   2 0.0
180329  0o 0o 1- 2-  1o 2- 1- 1o    7- Q5   3 0.1
180330  1+ 2+ 1- 1o  1+ 1- 1- 1-    9-      4 0.2
180331  3- 2- 1+ 1+  1+ 2- 1- 1-   11+      6 0.3
1803                                  Mean  8 0.39

1803 Q 28  12  13   8  29   2   7   6  21   5 
1803 D 18  16* 25* 15* 23*
