190501  0+ 2- 1+ 1+  2o 3- 4o 4-   17o D4* 11 0.6
190502  3+ 3+ 2+ 2+  2o 2+ 3- 1o   19+ D5* 11 0.6
190503  2o 2o 2- 1o  2- 1+ 2o 3-   14+      7 0.3
190504  1- 2o 2o 3-  3- 3- 2+ 1+   16+      8 0.5
190505  1+ 1o 0o 0+  0+ 1o 1- 1-    5+ Q3   3 0.1
190506  1o 0+ 0+ 1o  2- 1+ 2- 1+    9-      4 0.1
190507  1+ 2o 1- 0+  1o 1+ 2- 1-    9o      4 0.2
190508  1- 0+ 0o 0o  0o 0+ 0+ 1o    3- Q1   2 0.0
190509  1+ 1+ 2+ 2-  1+ 1o 1o 2+   12+      6 0.3
190510  1+ 2- 1- 1-  1o 2o 3- 3o   13o      7 0.3
190511  5o 4- 4+ 4o  4o 2+ 2+ 4-   29+ D2  24 1.2
190512  2- 1- 1o 0+  0o 1o 1+ 1+    7+ Q8   4 0.1
190513  1- 0+ 1o 2-  1o 3- 2- 2o   11o      6 0.2
190514  3+ 6- 6+ 3+  2o 4- 4- 1+   29+ D1  32 1.3
190515  1- 2- 1- 0+  2- 2+ 2+ 1-   10+      5 0.2
190516  1o 2- 1+ 1o  1+ 1o 3- 3o   13o      7 0.3
190517  2+ 1- 1o 0+  1+ 1o 0+ 1-    8- Q0   4 0.1
190518  1- 1- 2- 2o  1o 0+ 0+ 0+    7o Q9   4 0.1
190519  0o 1- 1- 0+  0+ 0+ 0+ 2-    4+ Q2   2 0.0
190520  3+ 2- 1o 1-  1o 1o 0+ 0+    9+      5 0.2
190521  1- 1o 0+ 1-  2- 0+ 0+ 0+    5+ Q4   3 0.1
190522  0+ 1+ 2- 1o  1- 0+ 1o 1o    7+ Q7   4 0.1
190523  1- 1o 0+ 1+  1+ 1+ 1o 2-    9-      4 0.1
190524  1o 2- 0+ 0+  1- 1+ 2- 1+    8+      4 0.1
190525  0+ 0+ 0+ 0+  0+ 2- 1+ 1o    6- Q5   3 0.1
190526  1- 1- 0+ 0+  0+ 1- 0+ 3o    6+      4 0.1
190527  2+ 2+ 3+ 1+  1o 2+ 2o 1-   15+      8 0.4
190528  1- 1o 1o 1+  3- 1o 2+ 3o   13o      7 0.4
190529  3+ 4- 3+ 2+  2o 2- 2+ 3o   22- D3* 13 0.7
190530  3o 2o 1+ 2-  1+ 1+ 2+ 2o   15o      7 0.4
190531  2- 1+ 1+ 1-  0+ 0+ 1- 0+    7- Q6   4 0.1
1905                                  Mean  7 0.30

1905 Q  8  19   5  21  25  31  22  12  18  17 
1905 D 14  11  29*  1*  2*
