PROP_MAN 11.0
2017         0.000  14212800.000   1296000.000  M50 FT FPS SEC
 14212800.000   -8535865.420155  -19320104.581130   -7028174.772018  17383.209720  -1082.297123 -18145.674503  907581.4
 14213040.000   -4102902.122531  -18870685.565183  -11072243.093268  19331.190842   4803.406517 -15348.081525  907581.4
 14213280.000     629770.279270  -17043124.142715  -14305412.936019  19865.987523  10331.898197 -11430.188913  907581.4
 14213520.000    5316568.392830  -13972248.852570  -16492033.458336  18951.743134  15101.396082  -6680.493913  907581.4
 14213760.000    9615909.668781   -9882944.035247  -17473150.611947  16657.087857  18767.459166  -1445.671279  907581.4
 14214000.000   13214658.658258   -5073553.038889  -17177524.784523  13148.930244  21065.733970   3894.284741  907581.4
 14214240.000   15850391.152512     105550.318582  -15626520.120574   8680.531697  21829.448398   8952.061267  907581.4
 14214480.000   17330173.702097    5276907.121663  -12932682.583211   3574.494349  21001.069985  13359.509531  907581.4
 14214720.000   17544716.980371   10062941.943309   -9292019.814867  -1798.672765  18637.458083  16793.445737  907581.4
 14214960.000   16476879.420864   14113359.377371   -4970304.139740  -7046.214317  14908.188246  18999.463435  907581.4
 14215200.000   14203549.279622   17131134.986680    -283977.487702 -11782.286298  10084.970447  19812.706743  907581.4
 14215440.000   10890427.826590   18894803.073784    4423153.673052 -15657.421298   4521.861391  19171.595476  907581.4
 14215680.000    6779958.260697   19275156.986680    8805530.611935 -18385.804100  -1371.336329  17123.279709  907581.4
 14215920.000    2173245.049746   18244879.311680   12541670.917389 -19767.525258  -7160.903996  13819.841950  907581.4
 14216160.000   -2592472.363482   15880258.311045   15357999.364315 -19703.051172 -12422.660914   9505.657107  907581.4
 14216400.000   -7168784.676359   12355077.843582   17048772.084435 -18199.132019 -16773.247130   4497.925271  907581.4
 14216640.000  -11221519.037980    7927478.199117   17490750.315300 -15366.697296 -19897.106787   -837.219690  907581.4
 14216880.000  -14454800.517394    2920993.030832   16651827.825330 -11411.993556 -21567.888592  -6111.002715  907581.4
 14217120.000  -16632293.375668   -2298800.309256   14593205.845944  -6622.064483 -21663.626216 -10939.108137  907581.4
 14217360.000  -17594319.436807   -7350554.123040   11465110.933330  -1344.971304 -20175.795768 -14968.393769  907581.4
 14217600.000  -17269702.307278  -11864747.070114    7496229.876530   4034.041331 -17211.198439 -17902.221313  907581.4
 14217840.000  -15681455.457749  -15510808.239021    2977305.432273   9120.267999 -12985.768232 -19523.528491  907581.4
 14218080.000  -12945501.957269  -18021686.494094   -1760136.411410  13539.075955  -7809.893980 -19711.874742  907581.4
 14218320.000   -9262298.516447  -19213955.329353   -6368417.012982  16965.395881  -2065.366800 -18454.114671  907581.4
 14218560.000   -4901794.380113  -19001381.285962  -10509734.681114  19148.820949   3824.906449 -15844.993960  907581.4
 14218800.000    -183167.425655  -17400923.455908  -13881225.066600  19931.955244   9429.440396 -12078.809914  907581.4
 14219040.000    4548914.121806  -14530865.327335  -16237039.802903  19260.739503  14340.535514  -7433.162007  907581.4
 14219280.000    8949465.643935  -10601557.771112  -17405851.457449  17186.356038  18203.090165  -2247.600100  907581.4
 14219520.000   12697974.338722   -5899792.442292  -17302796.349273  13860.081362  20738.691978   3101.219422  907581.4
 14219760.000   15521176.771588    -768125.642012  -15935275.297902   9522.150250  21763.643637   8225.430876  907581.4
 14220000.000   17212584.221297    4419499.872522  -13402486.547864   4485.686096  21201.714375  12752.313515  907581.4
 14220240.000   17647558.436886    9284458.004476   -9888650.307053   -884.216425  19090.602092  16350.324601  907581.4
 14220480.000   16792841.020154   13470844.110225   -5650153.090685  -6195.662382  15581.185481  18753.477374  907581.4
 14220720.000   14709624.775364   16671716.141176    -997201.761110 -11058.311485  10928.339070  19782.303916  907581.4
 14220960.000   11549638.300985   18652136.200677    3728895.504237 -15113.139943   5473.642304  19359.067651  907581.4
 14221200.000    7544075.864308   19266999.137387    8181188.397834 -18061.282999   -380.934236  17514.842742  907581.4
