# APPROXIMATE liner gain calibration numbers by DET_ID
# from EXPNICERCALMEMO0001SEXTANTlineargain20170217b.pdf by C. Markwardt
# ENERGY [keV] = E0 + GAIN * SLOW_PHA
# E0 = energy offset at PHA(slow) == 0
# Gain = gain slope in keV/PHA unit
# DET_ID E0(keV) GAIN(keV/PHA)
0 -1.192 0.0036645
1 -1.099 0.0036818
2 -1.042 0.0036945
3 -1.147 0.003886
4 -1.279 0.0037975
5 -1.277 0.0037161
6 -1.215 0.0036516
7 -1.311 0.0037166
10 -0.865 0.0037661
11 -1.19 0.0037229
12 -1.044 0.0035702
13 -1.221 0.0036318
14 -1.24 0.0037039
15 -1.212 0.0037458
16 -1.557 0.0037408
17 -1.356 0.0037955
20 -1.294 0.0037282
21 -1.281 0.003635
22 -1.315 0.0037843
23 -1.023 0.003656
24 -1.26 0.0036763
25 -1.076 0.0036945
26 -1.093 0.003705
27 -1.195 0.0036872
30 -1.058 0.0036768
31 -1.293 0.0036293
32 -1.344 0.0037926
33 -1.386 0.0036682
34 -1.046 0.0037413
35 -1.204 0.0037667
36 -1.143 0.0037721
37 -1.316 0.0035859
40 -1.247 0.0036732
41 -1.148 0.0037951
42 -1.423 0.0038908
43 -1.191 0.0036876
44 -1.244 0.0037517
45 -1.297 0.0036848
46 -1.298 0.0037658
47 -1.227 0.0036901
50 -1.28 0.0037326
51 -1.351 0.0036779
52 -1.191 0.0037166
53 -1.379 0.0037133
54 -1.288 0.003656
55 -1.238 0.0037387
56 -1.128 0.0037423
57 -1.11 0.0036756
60 -1.035 0.0037016
61 -1.06 0.0037115
62 -1.228 0.0037597
63 -1.231 0.0036493
64 -1.261 0.0037406
65 -1.314 0.003648
66 -1.11 0.0037113
67 -1.247 0.0037657
